data_di_misurazione,valore_inquinante_misurato,Latitude,Longitude,denominazione,inquinante_misurato
2019-07-18,11,45.693962,9.662369,Bergamo,PM2.5
2019-07-19,16,45.693962,9.662369,Bergamo,PM2.5
2019-07-20,17,45.693962,9.662369,Bergamo,PM2.5
2019-07-21,16,45.693962,9.662369,Bergamo,PM2.5
2019-07-22,19,45.693962,9.662369,Bergamo,PM2.5
2019-07-23,21,45.693962,9.662369,Bergamo,PM2.5
2019-07-24,21,45.693962,9.662369,Bergamo,PM2.5
2019-07-25,20,45.693962,9.662369,Bergamo,PM2.5
2019-07-26,13,45.693962,9.662369,Bergamo,PM2.5
2019-07-27,7,45.693962,9.662369,Bergamo,PM2.5
2019-07-28,8,45.693962,9.662369,Bergamo,PM2.5
2019-07-29,10,45.693962,9.662369,Bergamo,PM2.5
2019-07-30,12,45.693962,9.662369,Bergamo,PM2.5
2019-07-31,9,45.693962,9.662369,Bergamo,PM2.5
2019-08-01,14,45.693962,9.662369,Bergamo,PM2.5
2019-08-02,9,45.693962,9.662369,Bergamo,PM2.5
2019-08-03,7,45.693962,9.662369,Bergamo,PM2.5
2019-08-04,8,45.693962,9.662369,Bergamo,PM2.5
2019-08-05,10,45.693962,9.662369,Bergamo,PM2.5
2019-08-06,12,45.693962,9.662369,Bergamo,PM2.5
2019-08-07,8,45.693962,9.662369,Bergamo,PM2.5
2019-08-08,9,45.693962,9.662369,Bergamo,PM2.5
2019-08-09,13,45.693962,9.662369,Bergamo,PM2.5
2019-08-10,14,45.693962,9.662369,Bergamo,PM2.5
2019-08-11,13,45.693962,9.662369,Bergamo,PM2.5
2019-08-12,10,45.693962,9.662369,Bergamo,PM2.5
2019-08-13,6,45.693962,9.662369,Bergamo,PM2.5
2019-08-14,5,45.693962,9.662369,Bergamo,PM2.5
2019-08-15,5,45.693962,9.662369,Bergamo,PM2.5
2019-08-16,5,45.693962,9.662369,Bergamo,PM2.5
2019-08-17,7,45.693962,9.662369,Bergamo,PM2.5
2019-08-18,12,45.693962,9.662369,Bergamo,PM2.5
2019-08-19,11,45.693962,9.662369,Bergamo,PM2.5
2019-08-20,8,45.693962,9.662369,Bergamo,PM2.5
2019-08-21,11,45.693962,9.662369,Bergamo,PM2.5
2019-08-22,5,45.693962,9.662369,Bergamo,PM2.5
2019-08-23,8,45.693962,9.662369,Bergamo,PM2.5
2019-08-24,10,45.693962,9.662369,Bergamo,PM2.5
2019-08-25,11,45.693962,9.662369,Bergamo,PM2.5
2019-08-26,9,45.693962,9.662369,Bergamo,PM2.5
2019-08-27,14,45.693962,9.662369,Bergamo,PM2.5
2019-08-28,13,45.693962,9.662369,Bergamo,PM2.5
2019-08-29,11,45.693962,9.662369,Bergamo,PM2.5
2019-08-30,13,45.693962,9.662369,Bergamo,PM2.5
2019-08-31,9,45.693962,9.662369,Bergamo,PM2.5
2019-09-01,9,45.693962,9.662369,Bergamo,PM2.5
2019-09-02,8,45.693962,9.662369,Bergamo,PM2.5
2019-09-03,8,45.693962,9.662369,Bergamo,PM2.5
2019-09-04,9,45.693962,9.662369,Bergamo,PM2.5
2019-09-05,14,45.693962,9.662369,Bergamo,PM2.5
2019-09-06,7,45.693962,9.662369,Bergamo,PM2.5
2019-09-07,8,45.693962,9.662369,Bergamo,PM2.5
2019-09-08,5,45.693962,9.662369,Bergamo,PM2.5
2019-09-09,7,45.693962,9.662369,Bergamo,PM2.5
2019-09-10,6,45.693962,9.662369,Bergamo,PM2.5
2019-09-11,10,45.693962,9.662369,Bergamo,PM2.5
2019-09-12,13,45.693962,9.662369,Bergamo,PM2.5
2019-09-13,18,45.693962,9.662369,Bergamo,PM2.5
2019-09-14,21,45.693962,9.662369,Bergamo,PM2.5
2019-09-15,16,45.693962,9.662369,Bergamo,PM2.5
2019-09-16,26,45.693962,9.662369,Bergamo,PM2.5
2019-09-17,23,45.693962,9.662369,Bergamo,PM2.5
2019-09-18,19,45.693962,9.662369,Bergamo,PM2.5
2019-09-19,13,45.693962,9.662369,Bergamo,PM2.5
2019-09-20,10,45.693962,9.662369,Bergamo,PM2.5
2019-09-21,11,45.693962,9.662369,Bergamo,PM2.5
2019-09-22,16,45.693962,9.662369,Bergamo,PM2.5
2019-09-23,18,45.693962,9.662369,Bergamo,PM2.5
2019-09-24,8,45.693962,9.662369,Bergamo,PM2.5
2019-09-25,13,45.693962,9.662369,Bergamo,PM2.5
2019-09-26,25,45.693962,9.662369,Bergamo,PM2.5
2019-09-27,35,45.693962,9.662369,Bergamo,PM2.5
2019-09-28,20,45.693962,9.662369,Bergamo,PM2.5
2019-09-29,9,45.693962,9.662369,Bergamo,PM2.5
2019-09-30,10,45.693962,9.662369,Bergamo,PM2.5
2019-10-01,17,45.693962,9.662369,Bergamo,PM2.5
2019-10-02,10,45.693962,9.662369,Bergamo,PM2.5
