data_di_misurazione,valore_inquinante_misurato,Latitude,Longitude,denominazione,inquinante_misurato
2019-08-24,68.6,45.693962,9.662369,Bergamo,O3
2019-08-25,79.2,45.693962,9.662369,Bergamo,O3
2019-08-26,81.5,45.693962,9.662369,Bergamo,O3
2019-08-27,86.8,45.693962,9.662369,Bergamo,O3
2019-08-28,75.2,45.693962,9.662369,Bergamo,O3
2019-08-29,80.8,45.693962,9.662369,Bergamo,O3
2019-08-30,94.1,45.693962,9.662369,Bergamo,O3
2019-08-31,77.2,45.693962,9.662369,Bergamo,O3
2019-09-01,80.7,45.693962,9.662369,Bergamo,O3
2019-09-02,82.2,45.693962,9.662369,Bergamo,O3
2019-09-03,69.8,45.693962,9.662369,Bergamo,O3
2019-09-04,74.4,45.693962,9.662369,Bergamo,O3
2019-09-05,80.5,45.693962,9.662369,Bergamo,O3
2019-09-06,51.0,45.693962,9.662369,Bergamo,O3
2019-09-07,46.1,45.693962,9.662369,Bergamo,O3
2019-09-08,60.2,45.693962,9.662369,Bergamo,O3
2019-09-09,43.0,45.693962,9.662369,Bergamo,O3
2019-09-10,59.6,45.693962,9.662369,Bergamo,O3
2019-09-11,57.0,45.693962,9.662369,Bergamo,O3
2019-09-12,66.6,45.693962,9.662369,Bergamo,O3
2019-09-13,79.4,45.693962,9.662369,Bergamo,O3
2019-09-14,82.9,45.693962,9.662369,Bergamo,O3
2019-09-15,72.7,45.693962,9.662369,Bergamo,O3
2019-09-16,75.7,45.693962,9.662369,Bergamo,O3
2019-09-17,74.6,45.693962,9.662369,Bergamo,O3
2019-09-18,68.0,45.693962,9.662369,Bergamo,O3
2019-09-19,43.6,45.693962,9.662369,Bergamo,O3
2019-09-20,46.8,45.693962,9.662369,Bergamo,O3
2019-09-21,54.0,45.693962,9.662369,Bergamo,O3
2019-09-22,51.1,45.693962,9.662369,Bergamo,O3
2019-09-23,31.7,45.693962,9.662369,Bergamo,O3
2019-09-24,34.5,45.693962,9.662369,Bergamo,O3
2019-09-25,46.1,45.693962,9.662369,Bergamo,O3
2019-09-26,45.7,45.693962,9.662369,Bergamo,O3
2019-09-27,51.2,45.693962,9.662369,Bergamo,O3
2019-09-28,52.7,45.693962,9.662369,Bergamo,O3
2019-09-29,62.3,45.693962,9.662369,Bergamo,O3
2019-09-30,51.7,45.693962,9.662369,Bergamo,O3
2019-10-01,56.1,45.693962,9.662369,Bergamo,O3
2019-10-02,47.3,45.693962,9.662369,Bergamo,O3
2019-10-03,49.3,45.693962,9.662369,Bergamo,O3
2019-10-04,38.6,45.693962,9.662369,Bergamo,O3
2019-10-05,39.5,45.693962,9.662369,Bergamo,O3
2019-10-06,52.3,45.693962,9.662369,Bergamo,O3
2019-10-07,41.2,45.693962,9.662369,Bergamo,O3
2019-10-08,32.0,45.693962,9.662369,Bergamo,O3
2019-10-09,32.8,45.693962,9.662369,Bergamo,O3
2019-10-10,30.1,45.693962,9.662369,Bergamo,O3
2019-10-11,30.4,45.693962,9.662369,Bergamo,O3
2019-10-12,30.4,45.693962,9.662369,Bergamo,O3
2019-10-13,35.9,45.693962,9.662369,Bergamo,O3
2019-10-14,31.5,45.693962,9.662369,Bergamo,O3
2019-10-15,42.1,45.693962,9.662369,Bergamo,O3
2019-10-16,40.5,45.693962,9.662369,Bergamo,O3
2019-10-17,32.6,45.693962,9.662369,Bergamo,O3
2019-10-18,25.9,45.693962,9.662369,Bergamo,O3
2019-10-19,49.0,45.693962,9.662369,Bergamo,O3
2019-10-20,54.3,45.693962,9.662369,Bergamo,O3
2019-10-21,46.9,45.693962,9.662369,Bergamo,O3
2019-10-22,34.9,45.693962,9.662369,Bergamo,O3
2019-10-23,27.8,45.693962,9.662369,Bergamo,O3
2019-10-24,30.3,45.693962,9.662369,Bergamo,O3
2019-10-25,25.2,45.693962,9.662369,Bergamo,O3
2019-10-26,23.3,45.693962,9.662369,Bergamo,O3
2019-10-27,27.5,45.693962,9.662369,Bergamo,O3
2019-10-28,23.6,45.693962,9.662369,Bergamo,O3
2019-10-29,31.9,45.693962,9.662369,Bergamo,O3
2019-10-30,26.7,45.693962,9.662369,Bergamo,O3
2019-10-31,22.5,45.693962,9.662369,Bergamo,O3
2019-11-01,17.9,45.693962,9.662369,Bergamo,O3
2019-11-02,14.5,45.693962,9.662369,Bergamo,O3
2019-11-03,25.9,45.693962,9.662369,Bergamo,O3
2019-11-04,19.8,45.693962,9.662369,Bergamo,O3
2019-11-05,25.3,45.693962,9.662369,Bergamo,O3
2019-11-06,21.2,45.693962,9.662369,Bergamo,O3
2019-11-07,19.8,45.693962,9.662369,Bergamo,O3
2019-11-08,40.1,45.693962,9.662369,Bergamo,O3
2019-11-09,17.1,45.693962,9.662369,Bergamo,O3
2019-11-10,20.4,45.693962,9.662369,Bergamo,O3
2019-11-11,17.3,45.693962,9.662369,Bergamo,O3
2019-11-12,20.4,45.693962,9.662369,Bergamo,O3
2019-11-13,16.7,45.693962,9.662369,Bergamo,O3
2019-11-14,27.8,45.693962,9.662369,Bergamo,O3
2019-11-15,41.7,45.693962,9.662369,Bergamo,O3
2019-11-16,31.9,45.693962,9.662369,Bergamo,O3
2019-11-17,23.6,45.693962,9.662369,Bergamo,O3
2019-11-18,29.3,45.693962,9.662369,Bergamo,O3
2019-11-19,39.1,45.693962,9.662369,Bergamo,O3
2019-11-20,21.2,45.693962,9.662369,Bergamo,O3
2019-11-21,12.1,45.693962,9.662369,Bergamo,O3
2019-11-22,27.8,45.693962,9.662369,Bergamo,O3
2019-11-23,67.1,45.693962,9.662369,Bergamo,O3
2019-11-24,52.4,45.693962,9.662369,Bergamo,O3
2019-11-25,18.9,45.693962,9.662369,Bergamo,O3
2019-11-26,9.4,45.693962,9.662369,Bergamo,O3
2019-11-27,18.4,45.693962,9.662369,Bergamo,O3
2019-11-28,12.6,45.693962,9.662369,Bergamo,O3
2019-11-29,11.1,45.693962,9.662369,Bergamo,O3
2019-11-30,8.3,45.693962,9.662369,Bergamo,O3
2019-12-01,11.1,45.693962,9.662369,Bergamo,O3
2019-12-02,11.5,45.693962,9.662369,Bergamo,O3
2019-12-03,12.6,45.693962,9.662369,Bergamo,O3
2019-12-04,19.0,45.693962,9.662369,Bergamo,O3
2019-12-05,11.1,45.693962,9.662369,Bergamo,O3
2019-12-06,8.2,45.693962,9.662369,Bergamo,O3
2019-12-07,8.7,45.693962,9.662369,Bergamo,O3
2019-12-08,11.1,45.693962,9.662369,Bergamo,O3
2019-12-09,6.5,45.693962,9.662369,Bergamo,O3
2019-12-10,20.9,45.693962,9.662369,Bergamo,O3
2019-12-11,14.0,45.693962,9.662369,Bergamo,O3
2019-12-12,8.5,45.693962,9.662369,Bergamo,O3
2019-12-13,13.3,45.693962,9.662369,Bergamo,O3
2019-12-14,16.1,45.693962,9.662369,Bergamo,O3
2019-12-15,8.7,45.693962,9.662369,Bergamo,O3
2019-12-16,7.5,45.693962,9.662369,Bergamo,O3
2019-12-17,8.0,45.693962,9.662369,Bergamo,O3
2019-12-18,6.9,45.693962,9.662369,Bergamo,O3
2019-12-19,9.6,45.693962,9.662369,Bergamo,O3
2019-12-20,28.7,45.693962,9.662369,Bergamo,O3
2019-12-21,24.9,45.693962,9.662369,Bergamo,O3
2019-12-22,33.4,45.693962,9.662369,Bergamo,O3
2019-12-23,40.1,45.693962,9.662369,Bergamo,O3
2019-12-24,19.9,45.693962,9.662369,Bergamo,O3
2019-12-25,28.4,45.693962,9.662369,Bergamo,O3
2019-12-26,20.5,45.693962,9.662369,Bergamo,O3
2019-12-27,11.8,45.693962,9.662369,Bergamo,O3
2019-12-28,12.3,45.693962,9.662369,Bergamo,O3
2019-12-29,9.4,45.693962,9.662369,Bergamo,O3
2019-12-30,15.4,45.693962,9.662369,Bergamo,O3
2019-12-31,9.4,45.693962,9.662369,Bergamo,O3
2020-01-01,14.3,45.693962,9.662369,Bergamo,O3
2020-01-02,12.3,45.693962,9.662369,Bergamo,O3
2020-01-03,8.5,45.693962,9.662369,Bergamo,O3
2020-01-04,11.1,45.693962,9.662369,Bergamo,O3
2020-01-05,18.7,45.693962,9.662369,Bergamo,O3
2020-01-06,18.0,45.693962,9.662369,Bergamo,O3
2020-01-07,10.3,45.693962,9.662369,Bergamo,O3
2020-01-08,12.1,45.693962,9.662369,Bergamo,O3
2020-01-09,12.8,45.693962,9.662369,Bergamo,O3
2020-01-10,13.5,45.693962,9.662369,Bergamo,O3
2020-01-11,13.3,45.693962,9.662369,Bergamo,O3
2020-01-12,15.3,45.693962,9.662369,Bergamo,O3
2020-01-13,13.6,45.693962,9.662369,Bergamo,O3
2020-01-14,11.5,45.693962,9.662369,Bergamo,O3
2020-01-15,8.9,45.693962,9.662369,Bergamo,O3
2020-01-16,11.0,45.693962,9.662369,Bergamo,O3
2020-01-17,11.9,45.693962,9.662369,Bergamo,O3
2020-01-18,21.0,45.693962,9.662369,Bergamo,O3
2020-01-19,17.5,45.693962,9.662369,Bergamo,O3
2020-01-20,21.7,45.693962,9.662369,Bergamo,O3
2020-01-21,14.5,45.693962,9.662369,Bergamo,O3
2020-01-22,11.7,45.693962,9.662369,Bergamo,O3
2020-01-23,13.8,45.693962,9.662369,Bergamo,O3
2020-01-24,10.9,45.693962,9.662369,Bergamo,O3
2020-01-25,10.9,45.693962,9.662369,Bergamo,O3
2020-01-26,13.0,45.693962,9.662369,Bergamo,O3
2020-01-27,11.1,45.693962,9.662369,Bergamo,O3
2020-01-28,19.1,45.693962,9.662369,Bergamo,O3
2020-01-29,34.2,45.693962,9.662369,Bergamo,O3
2020-01-30,21.3,45.693962,9.662369,Bergamo,O3
2020-01-31,12.5,45.693962,9.662369,Bergamo,O3
2020-02-01,12.5,45.693962,9.662369,Bergamo,O3
2020-02-02,12.4,45.693962,9.662369,Bergamo,O3
2020-02-03,7.5,45.693962,9.662369,Bergamo,O3
2020-02-04,40.2,45.693962,9.662369,Bergamo,O3
2020-02-05,47.2,45.693962,9.662369,Bergamo,O3
2020-02-06,27.0,45.693962,9.662369,Bergamo,O3
2020-02-07,23.6,45.693962,9.662369,Bergamo,O3
2020-02-08,16.2,45.693962,9.662369,Bergamo,O3
2020-02-09,21.3,45.693962,9.662369,Bergamo,O3
2020-02-10,19.6,45.693962,9.662369,Bergamo,O3
2020-02-11,45.4,45.693962,9.662369,Bergamo,O3
2020-02-12,58.8,45.693962,9.662369,Bergamo,O3
2020-02-13,35.3,45.693962,9.662369,Bergamo,O3
2020-02-14,28.6,45.693962,9.662369,Bergamo,O3
2020-02-15,21.0,45.693962,9.662369,Bergamo,O3
2020-02-16,21.9,45.693962,9.662369,Bergamo,O3
2020-02-17,18.9,45.693962,9.662369,Bergamo,O3
2020-02-18,18.1,45.693962,9.662369,Bergamo,O3
2020-02-19,34.7,45.693962,9.662369,Bergamo,O3
2020-02-20,30.7,45.693962,9.662369,Bergamo,O3
2020-02-21,21.1,45.693962,9.662369,Bergamo,O3
2020-02-22,26.6,45.693962,9.662369,Bergamo,O3
2020-02-23,38.4,45.693962,9.662369,Bergamo,O3
2020-02-24,35.5,45.693962,9.662369,Bergamo,O3
2020-02-25,38.2,45.693962,9.662369,Bergamo,O3
2020-02-26,46.7,45.693962,9.662369,Bergamo,O3
2020-02-27,47.5,45.693962,9.662369,Bergamo,O3
2020-02-28,52.6,45.693962,9.662369,Bergamo,O3
2020-02-29,36.1,45.693962,9.662369,Bergamo,O3
2020-03-01,37.1,45.693962,9.662369,Bergamo,O3
2020-03-02,46.1,45.693962,9.662369,Bergamo,O3
2020-03-03,32.3,45.693962,9.662369,Bergamo,O3
2020-03-04,35.4,45.693962,9.662369,Bergamo,O3
2020-03-05,44.9,45.693962,9.662369,Bergamo,O3
2020-03-06,31.6,45.693962,9.662369,Bergamo,O3
2020-03-07,38.0,45.693962,9.662369,Bergamo,O3
